t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6,dJ7,dJ8,dJ9,dJ10,dJ11,dJ12
4.040404040404040664e+00,-1.382998973131179810e-01,-9.141732752323150635e-02,-4.417657256126403809e-01,3.142644464969635010e-01,-1.631906151771545410e+00,-1.397727608680725098e+00,-3.091965019702911377e-01,4.119996428489685059e-01,1.161373019218444824e+00,6.056408286094665527e-01,-5.753371715545654297e-01,-3.872412443161010742e-01
4.141414141414140992e+00,-1.311287879943847656e-01,-8.667717128992080688e-02,-4.188593924045562744e-01,2.979692518711090088e-01,-1.547288775444030762e+00,-1.325252771377563477e+00,-2.931641042232513428e-01,3.906367123126983643e-01,1.101153731346130371e+00,5.742372274398803711e-01,-5.455049276351928711e-01,-3.671620786190032959e-01
4.242424242424242209e+00,-1.219087988138198853e-01,-8.058268576860427856e-02,-3.894083201885223389e-01,2.770182788372039795e-01,-1.438495039939880371e+00,-1.232071042060852051e+00,-2.725510001182556152e-01,3.631700873374938965e-01,1.023728847503662109e+00,5.338612198829650879e-01,-5.071491003036499023e-01,-3.413459956645965576e-01
4.343434343434343425e+00,-1.106399148702621460e-01,-7.313386350870132446e-02,-3.534125685691833496e-01,2.514115571975708008e-01,-1.305524945259094238e+00,-1.118181943893432617e+00,-2.473572045564651489e-01,3.295997083187103271e-01,9.290984272956848145e-01,4.845126569271087646e-01,-4.602697491645812988e-01,-3.097929954528808594e-01
4.444444444444444642e+00,-9.732214361429214478e-02,-6.433071196079254150e-02,-3.108721375465393066e-01,2.211490422487258911e-01,-1.148378252983093262e+00,-9.835859537124633789e-01,-2.175827026367187500e-01,2.899256348609924316e-01,8.172624707221984863e-01,4.261916577816009521e-01,-4.048668742179870605e-01,-2.725030779838562012e-01
4.545454545454544970e+00,-8.195550739765167236e-02,-5.417323857545852661e-02,-2.617871165275573730e-01,1.862308084964752197e-01,-9.670556187629699707e-01,-8.282831311225891113e-01,-1.832275688648223877e-01,2.441479712724685669e-01,6.882210969924926758e-01,3.588983416557312012e-01,-3.409405946731567383e-01,-2.294763028621673584e-01
4.646464646464646187e+00,-6.453995406627655029e-02,-4.266142100095748901e-02,-2.061573565006256104e-01,1.466567367315292358e-01,-7.615562081336975098e-01,-6.522728204727172852e-01,-1.442916989326477051e-01,1.922664940357208252e-01,5.419740676879882812e-01,2.826324105262756348e-01,-2.684907019138336182e-01,-1.807125806808471680e-01
4.747474747474747403e+00,-4.507550969719886780e-02,-2.979527041316032410e-02,-1.439828574657440186e-01,1.024269014596939087e-01,-5.318803787231445312e-01,-4.555555284023284912e-01,-1.007751375436782837e-01,1.342813372611999512e-01,3.785215020179748535e-01,1.973940134048461914e-01,-1.875172555446624756e-01,-1.262119263410568237e-01
4.848484848484848619e+00,-2.356221526861190796e-02,-1.557481102645397186e-02,-7.526382803916931152e-02,5.354137346148490906e-02,-2.780285775661468506e-01,-2.381314784288406372e-01,-5.267794802784919739e-02,7.019256055355072021e-02,1.978636533021926880e-01,1.031833067536354065e-01,-9.802045673131942749e-02,-6.597446650266647339e-02
4.949494949494949836e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.050505050505050164e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
5.151515151515151381e+00,4.259490966796875000e-02,-4.919562861323356628e-02,-6.202635169029235840e-02,1.569767296314239502e-01,5.088867992162704468e-02,1.184106245636940002e-01,-2.021377086639404297e-01,2.906170189380645752e-01,8.033768832683563232e-02,-1.300879120826721191e-01,-9.027401357889175415e-02,-4.595149308443069458e-02
5.252525252525252597e+00,8.148591220378875732e-02,-9.411338716745376587e-02,-1.186591163277626038e-01,3.003033399581909180e-01,9.735226631164550781e-02,2.265246808528900146e-01,-3.866982758045196533e-01,5.559629797935485840e-01,1.536894887685775757e-01,-2.488638460636138916e-01,-1.726981103420257568e-01,-8.790720999240875244e-02
5.353535353535353813e+00,1.166730150580406189e-01,-1.347532570362091064e-01,-1.698982715606689453e-01,4.299797415733337402e-01,1.393907368183135986e-01,3.243421614170074463e-01,-5.536815524101257324e-01,7.960379123687744141e-01,2.200554162263870239e-01,-3.563277721405029297e-01,-2.472722977399826050e-01,-1.258671432733535767e-01
5.454545454545454142e+00,1.481561958789825439e-01,-1.711152344942092896e-01,-2.157438248395919800e-01,5.460060238838195801e-01,1.770041137933731079e-01,4.118630290031433105e-01,-7.030876874923706055e-01,1.010841727256774902e+00,2.794354259967803955e-01,-4.524796903133392334e-01,-3.139965832233428955e-01,-1.598312854766845703e-01
5.555555555555555358e+00,1.759354770183563232e-01,-2.031993418931961060e-01,-2.561957836151123047e-01,6.483821272850036621e-01,2.101923674345016479e-01,4.890873432159423828e-01,-8.349165916442871094e-01,1.200374484062194824e+00,3.318295478820800781e-01,-5.373196005821228027e-01,-3.728708922863006592e-01,-1.897996366024017334e-01
5.656565656565656575e+00,2.000108659267425537e-01,-2.310055792331695557e-01,-2.912541925907135010e-01,7.371081113815307617e-01,2.389555722475051880e-01,5.560151338577270508e-01,-9.491683840751647949e-01,1.364636421203613281e+00,3.772378563880920410e-01,-6.108475923538208008e-01,-4.238953590393066406e-01,-2.157722413539886475e-01
5.757575757575757791e+00,2.203823626041412354e-01,-2.545339465141296387e-01,-3.209189772605895996e-01,8.121840357780456543e-01,2.632936239242553711e-01,6.126462817192077637e-01,-1.045843005180358887e+00,1.503627181053161621e+00,4.156602323055267334e-01,-6.730636358261108398e-01,-4.670699238777160645e-01,-2.377490550279617310e-01
5.858585858585858119e+00,2.370499074459075928e-01,-2.737843692302703857e-01,-3.451901078224182129e-01,8.736096620559692383e-01,2.832065820693969727e-01,6.589808464050292969e-01,-1.124940276145935059e+00,1.617346763610839844e+00,4.470966756343841553e-01,-7.239674925804138184e-01,-5.023944973945617676e-01,-2.557300329208374023e-01
5.959595959595959336e+00,2.500135898590087891e-01,-2.887569665908813477e-01,-3.640677332878112793e-01,9.213851690292358398e-01,2.986944317817687988e-01,6.950188875198364258e-01,-1.186460494995117188e+00,1.705795526504516602e+00,4.715473055839538574e-01,-7.635595202445983887e-01,-5.298691987991333008e-01,-2.697152793407440186e-01
6.060606060606060552e+00,2.592733502388000488e-01,-2.994516491889953613e-01,-3.775517046451568604e-01,9.555104970932006836e-01,3.097571730613708496e-01,7.207602858543395996e-01,-1.230403423309326172e+00,1.768972992897033691e+00,4.890120029449462891e-01,-7.918394804000854492e-01,-5.494939684867858887e-01,-2.797047495841979980e-01
6.161616161616161769e+00,2.648292183876037598e-01,-3.058684766292572021e-01,-3.856421113014221191e-01,9.759857058525085449e-01,3.163948655128479004e-01,7.362051606178283691e-01,-1.256769299507141113e+00,1.806879639625549316e+00,4.994908273220062256e-01,-8.088074922561645508e-01,-5.612688660621643066e-01,-2.856984138488769531e-01
6.262626262626262097e+00,2.666811645030975342e-01,-3.080074191093444824e-01,-3.883388936519622803e-01,9.828108549118041992e-01,3.186074197292327881e-01,7.413535118103027344e-01,-1.265557885169982910e+00,1.819515228271484375e+00,5.029837489128112793e-01,-8.144634962081909180e-01,-5.651938319206237793e-01,-2.876963019371032715e-01
6.363636363636363313e+00,2.648292183876037598e-01,-3.058685064315795898e-01,-3.856421113014221191e-01,9.759858250617980957e-01,3.163948655128479004e-01,7.362052202224731445e-01,-1.256769418716430664e+00,1.806879639625549316e+00,4.994908273220062256e-01,-8.088075518608093262e-01,-5.612689256668090820e-01,-2.856984436511993408e-01
6.464646464646464530e+00,2.592733502388000488e-01,-2.994516789913177490e-01,-3.775517344474792480e-01,9.555106163024902344e-01,3.097572028636932373e-01,7.207603454589843750e-01,-1.230403542518615723e+00,1.768973112106323242e+00,4.890120029449462891e-01,-7.918395400047302246e-01,-5.494940280914306641e-01,-2.797047495841979980e-01
6.565656565656565746e+00,2.500135898590087891e-01,-2.887569665908813477e-01,-3.640677332878112793e-01,9.213851690292358398e-01,2.986944317817687988e-01,6.950188875198364258e-01,-1.186460494995117188e+00,1.705795526504516602e+00,4.715473055839538574e-01,-7.635595202445983887e-01,-5.298691987991333008e-01,-2.697152793407440186e-01
