t,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
3.939393939393939448e+00,-1.712180674076080322e-02,8.683207035064697266e-01,1.628505587577819824e-01,-4.718667268753051758e-01,-7.569754123687744141e-02,-5.476552248001098633e-01,6.408408284187316895e-01,-1.221837282180786133e+00,6.530981063842773438e-01,6.170501708984375000e-01,5.783300995826721191e-01,-3.539742529392242432e-01
4.040404040404040664e+00,-3.181260824203491211e-02,8.586099743843078613e-01,1.159242987632751465e-01,-4.384842216968536377e-01,-2.490456104278564453e-01,-6.961277723312377930e-01,6.079967021942138672e-01,-1.178072929382324219e+00,7.764641046524047852e-01,6.813839673995971680e-01,5.172153115272521973e-01,-3.951086699962615967e-01
4.141414141414140992e+00,-4.586312174797058105e-02,8.493224978446960449e-01,7.104337215423583984e-02,-4.065566658973693848e-01,-4.148381948471069336e-01,-8.381291627883911133e-01,5.765839815139770508e-01,-1.136216044425964355e+00,8.944532871246337891e-01,7.429137229919433594e-01,4.587641954421997070e-01,-4.344502389430999756e-01
4.242424242424242209e+00,-5.905996263027191162e-02,8.405992388725280762e-01,2.888917922973632812e-02,-3.765689432621002197e-01,-5.705579519271850586e-01,-9.715031385421752930e-01,5.470798611640930176e-01,-1.096902251243591309e+00,1.005273818969726562e+00,8.007051944732666016e-01,4.038643836975097656e-01,-4.714016020298004150e-01
4.343434343434343425e+00,-7.118965685367584229e-02,8.325814008712768555e-01,-9.856164455413818359e-03,-3.490061461925506592e-01,-7.136856317520141602e-01,-1.094091773033142090e+00,5.199615359306335449e-01,-1.060767531394958496e+00,1.107132911682128906e+00,8.538233637809753418e-01,3.534040451049804688e-01,-5.053648352622985840e-01
4.444444444444444642e+00,-8.203881978988647461e-02,8.254100680351257324e-01,-4.451119899749755859e-02,-3.243531584739685059e-01,-8.417030572891235352e-01,-1.203738808631896973e+00,4.957061409950256348e-01,-1.028447508811950684e+00,1.198238611221313477e+00,9.013338088989257812e-01,3.082707524299621582e-01,-5.357425808906555176e-01
4.545454545454544970e+00,-9.139396250247955322e-02,8.192262649536132812e-01,-7.439398765563964844e-02,-3.030951023101806641e-01,-9.520915746688842773e-01,-1.298286557197570801e+00,4.747908711433410645e-01,-1.000578284263610840e+00,1.276798486709594727e+00,9.423017501831054688e-01,2.693527340888977051e-01,-5.619370937347412109e-01
4.646464646464646187e+00,-9.904171526432037354e-02,8.141710162162780762e-01,-9.882289171218872070e-02,-2.857167720794677734e-01,-1.042333245277404785e+00,-1.375578761100769043e+00,4.576928019523620605e-01,-9.777953624725341797e-01,1.341020464897155762e+00,9.757926464080810547e-01,2.375375032424926758e-01,-5.833508968353271484e-01
4.747474747474747403e+00,-1.047686338424682617e-01,8.103854656219482422e-01,-1.171161532402038574e-01,-2.727032899856567383e-01,-1.109909415245056152e+00,-1.433457732200622559e+00,4.448891878128051758e-01,-9.607347249984741211e-01,1.389112353324890137e+00,1.000871896743774414e+00,2.137131690979003906e-01,-5.993863344192504883e-01
4.848484848484848619e+00,-1.083613187074661255e-01,8.080106973648071289e-01,-1.285920739173889160e-01,-2.645394802093505859e-01,-1.152302384376525879e+00,-1.469767212867736816e+00,4.368570446968078613e-01,-9.500319957733154297e-01,1.419281840324401855e+00,1.016604900360107422e+00,1.987673044204711914e-01,-6.094458699226379395e-01
4.949494949494949836e+00,-1.096062958240509033e-01,8.071877360343933105e-01,-1.325688958168029785e-01,-2.617104649543762207e-01,-1.166992783546447754e+00,-1.482349514961242676e+00,4.340736269950866699e-01,-9.463231563568115234e-01,1.429736495018005371e+00,1.022056937217712402e+00,1.935881376266479492e-01,-6.129318475723266602e-01
5.050505050505050164e+00,-1.096062883734703064e-01,8.071877360343933105e-01,-1.325688809156417847e-01,-2.617104649543762207e-01,-1.166992783546447754e+00,-1.482349514961242676e+00,4.340736269950866699e-01,-9.463231563568115234e-01,1.429736495018005371e+00,1.022056937217712402e+00,1.935881227254867554e-01,-6.129318475723266602e-01
5.151515151515151381e+00,-1.073556542396545410e-01,8.045883178710937500e-01,-1.358462423086166382e-01,-2.534160912036895752e-01,-1.164303898811340332e+00,-1.476092934608459473e+00,4.233930408954620361e-01,-9.309675097465515137e-01,1.433981418609619141e+00,1.015183329582214355e+00,1.888182163238525391e-01,-6.153598427772521973e-01
5.252525252525252597e+00,-1.008609533309936523e-01,7.970871925354003906e-01,-1.453037559986114502e-01,-2.294809371232986450e-01,-1.156544566154479980e+00,-1.458038210868835449e+00,3.925719261169433594e-01,-8.866553902626037598e-01,1.446231007575988770e+00,9.953480362892150879e-01,1.750535964965820312e-01,-6.223663091659545898e-01
5.353535353535353813e+00,-9.050802886486053467e-02,7.851299047470092773e-01,-1.603796184062957764e-01,-1.913268715143203735e-01,-1.144175887107849121e+00,-1.429257750511169434e+00,3.434412181377410889e-01,-8.160193562507629395e-01,1.465757489204406738e+00,9.637295007705688477e-01,1.531119942665100098e-01,-6.335350871086120605e-01
5.454545454545454142e+00,-7.668268680572509766e-02,7.691621184349060059e-01,-1.805119663476943970e-01,-1.403757780790328979e-01,-1.127658486366271973e+00,-1.390824437141418457e+00,2.778319120407104492e-01,-7.216916084289550781e-01,1.491833209991455078e+00,9.215058684349060059e-01,1.238110959529876709e-01,-6.484498977661132812e-01
5.555555555555555358e+00,-5.977075546979904175e-02,7.496294379234313965e-01,-2.051389813423156738e-01,-7.804955542087554932e-02,-1.107453584671020508e+00,-1.343810558319091797e+00,1.975749135017395020e-01,-6.063047647476196289e-01,1.523730635643005371e+00,8.698556423187255859e-01,8.796860277652740479e-02,-6.666945219039916992e-01
5.656565656565656575e+00,-4.015807062387466431e-02,7.269774675369262695e-01,-2.336988151073455811e-01,-5.770146846771240234e-03,-1.084022045135498047e+00,-1.289288759231567383e+00,1.045012474060058594e-01,-4.724910855293273926e-01,1.560721874237060547e+00,8.099570870399475098e-01,4.640223085880279541e-02,-6.878527402877807617e-01
5.757575757575757791e+00,-1.823043078184127808e-02,7.016518115997314453e-01,-2.656296491622924805e-01,7.504066824913024902e-02,-1.057824850082397461e+00,-1.228331565856933594e+00,4.418194293975830078e-04,-3.228829503059387207e-01,1.602079272270202637e+00,7.429884672164916992e-01,-7.036328315734863281e-05,-7.115083336830139160e-01
5.858585858585858119e+00,5.626328289508819580e-03,6.740980744361877441e-01,-3.003696799278259277e-01,1.629609465599060059e-01,-1.029322862625122070e+00,-1.162011623382568359e+00,-1.127724051475524902e-01,-1.601127982139587402e-01,1.647075176239013672e+00,6.701282262802124023e-01,-5.063146352767944336e-02,-7.372450828552246094e-01
5.959595959595959336e+00,3.102635592222213745e-02,6.447619199752807617e-01,-3.373569846153259277e-01,2.565687298774719238e-01,-9.989771842956542969e-01,-1.091401338577270508e+00,-2.333104014396667480e-01,1.318681240081787109e-02,1.694981813430786133e+00,5.925546884536743164e-01,-1.044633239507675171e-01,-7.646467089653015137e-01
6.060606060606060552e+00,5.758389085531234741e-02,6.140888929367065430e-01,-3.760298490524291992e-01,3.544422388076782227e-01,-9.672485589981079102e-01,-1.017573475837707520e+00,-3.593413829803466797e-01,1.943837404251098633e-01,1.745071649551391602e+00,5.114461183547973633e-01,-1.607483178377151489e-01,-7.932970523834228516e-01
